product_id,day,execution_at,reference_bar_start,assumed_available_at,age_upper_bound_minutes,reference_price_usd,raw_path
1INCH-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,2.4,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/1INCH-USD_20220101_0000_0015_60s.json
AAVE-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,256.06,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/AAVE-USD_20220101_0000_0015_60s.json
ADA-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,1.3143,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ADA-USD_20220101_0000_0015_60s.json
ALGO-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,1.6669,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ALGO-USD_20220101_0000_0015_60s.json
ATOM-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,32.78,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ATOM-USD_20220101_0000_0015_60s.json
BCH-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,431.48,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BCH-USD_20220101_0000_0015_60s.json
BTC-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,46306.89,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BTC-USD_20220101_0000_0015_60s.json
CHZ-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,0.2837,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CHZ-USD_20220101_0000_0015_60s.json
CRV-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,5.38,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CRV-USD_20220101_0000_0015_60s.json
DASH-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,134.42,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/DASH-USD_20220101_0000_0015_60s.json
DOT-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,26.74,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/DOT-USD_20220101_0000_0015_60s.json
ETC-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,34.1,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ETC-USD_20220101_0000_0015_60s.json
ETH-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,3688.78,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ETH-USD_20220101_0000_0015_60s.json
FIL-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,34.39,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/FIL-USD_20220101_0000_0015_60s.json
ICP-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,24.56,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ICP-USD_20220101_0000_0015_60s.json
LINK-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,19.56,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LINK-USD_20220101_0000_0015_60s.json
LTC-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,146.4,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LTC-USD_20220101_0000_0015_60s.json
SOL-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,170.38,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/SOL-USD_20220101_0000_0015_60s.json
UNI-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,17.08,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/UNI-USD_20220101_0000_0015_60s.json
XLM-USD,2022-01-01 00:00:00+00:00,2022-01-01 00:05:00+00:00,2022-01-01 00:04:00+00:00,2022-01-01 00:05:00+00:00,1.0,0.266475,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/XLM-USD_20220101_0000_0015_60s.json
1INCH-USD,2022-01-02 00:00:00+00:00,2022-01-02 00:05:00+00:00,2022-01-02 00:04:00+00:00,2022-01-02 00:05:00+00:00,1.0,2.52,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/1INCH-USD_20220102_0000_0015_60s.json
